angered
angry
apalling
asshole
assholes
atrocious
bastard
bastards
blame
bullshit
corrupt
cowardly
crazy
deplorable
destroy
destroyed
destroying
disgusting
disheartening
disrespectful
dumb
dumbass
fuck that
fuck this
fuck you
fucker
fuckers
greedy
greedy
gross
heartless
horrifying
I can't
idiot
idiots
ignorant
indefensible
infuriating
insane
jerk
jerks
ludicrous
maniac
nonsense
not okay
offensive
outraged
petty
pissed
pissed off
pisses
prick
pricks
rediculous
repulsive
resent
resist
rude
screw
screwed over
scum
scumbag
selfish
seriously?
shit
shitty
shocked
so mad
spite
spiteful
take back
terrifying
unacceptable
unbelievable
untenable
vicious
violates
we're fucked
wrong
wtf
