angered
angry
apalling
asshole
assholes
atrocious
bastard
bastards
blame
bullshit
corrupt
cowardly
crazy
deplorable
destroy
destroyed
destroying
disgusting
disheartening
disrespectful
dumb
dumbass
fuck
fucker
fuckers
fucked
greedy
gross
heartless
horrifying
idiot
idiots
ignorant
indefensible
infuriating
insane
jerk
jerks
ludicrous
maniac
nonsense
offensive
outraged
petty
pissed
pisses
prick
pricks
rediculous
repulsive
resent
resist
rude
screw
screwed
scum
scumbag
selfish
shit
shitty
shocked
mad
spite
spiteful
terrifying
unacceptable
unbelievable
untenable
vicious
violates
wrong
wtf
